App Name;Website;IP;Registrar Name;Registrant Name;Registrant Organisation;Registrant Country;Creation Date;For Android;Available on Play Store;Tranco Ranking
Mobicip;mobicip.com;3.215.224.204; FastDomain Inc.; MOBICIP ADMINISTRATOR; MOBICIP LLC; US; 2008-07-27T05:51:14Z;Yes;https://play.google.com/store/apps/details?id=mobicip.com.safeBrowserff;120372
Mobile Fence;mobilefence.com;54.86.228.68; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2006-01-19T14:02:00Z;Yes;https://play.google.com/store/apps/details?id=com.mobilefence.family;532489
Mobile Spy;mobile-spy.com;104.21.81.108; Cloudflare, Inc.; DATA REDACTED; DATA REDACTED; TH; 2006-04-12T17:23:02Z;Yes;No;N/A
MobileGuardian;mobileguardian.com;34.122.173.240; Moniker Online Services LLC; Moniker Privacy Services; Moniker Privacy Services; US; 2014-02-05T19:30:56Z;Yes;https://play.google.com/store/apps/details?id=com.mobiflock.mobileguardian;232054
MobileSpy;mobilespy.net;172.67.130.221; BigRock Solutions Ltd; GDPR Masked; GDPR Masked; GB; 2008-09-16T15:30:14Z;Yes;No;N/A
Kidlogger;kidlogger.net;95.217.199.78; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2010-08-16T03:05:11Z;Yes;No;264485
Mr Arthur;mrarthur.io;89.117.117.180; GANDI SAS; REDACTED FOR PRIVACY; Mr Arthur; FR; 2022-01-17T08:57:08Z;No;N/A;N/A
mSpy;mspy.com;104.22.76.136; PDR Ltd. d/b/a PublicDomainRegistry.com; Domain Admin; Privacy Protect, LLC (PrivacyProtect.org); US; 2002-04-20T06:05:42Z;Yes;No;54619
Mush app;letsmush.com;IP not found; 123-Reg Limited; Registration Private; Domains By Proxy, LLC; US; 2015-12-16T05:34:15Z;N/A;N/A;N/A
Net Nanny;netnanny.com;3.227.227.0; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 1998-08-12T23:00:00Z;No;No;34494
NexaSpy;nexaspy.com;162.241.6.162; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2022-11-07T09:36:10Z;Yes;No;N/A
Norton Family;norton.com;23.99.92.83; MarkMonitor, Inc.; ; NortonLifeLock Inc; US; 1991-09-17T04:00:00+0000;Yes;https://play.google.com/store/apps/details?id=com.symantec.familysafety;1310
opelmobile;opelmobile.com.au;162.159.134.42;Web Address Registration Pty Ltd; ; ; ; ;N/A (sells devices);N/A;N/A
OpenDNS FamilyShield;opendns.com;146.112.62.105; PDR Ltd. d/b/a PublicDomainRegistry.com; OpenDNS Hostmaster; Cisco Technology, Inc.; US; 2003-09-04T18:24:28Z;No;No;300
OurPact;ourpact.com;141.193.213.20; Amazon Registrar, Inc.; On behalf of ourpact.com owner; Identity Protection Service; GB; 2013-05-30T01:18:56Z;Yes;https://play.google.com/store/apps/details?id=com.ourpact.androidparent;94929
Spapp Monitoring;spappmonitoring.com;172.66.40.79; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2017-01-17T11:32:14Z;Yes;No;80573
Parental Control App;N/A;IP not found;N/A;N/A; ; ; ;N/A;N/A;N/A
Parentaler ;parentaler.com;188.114.96.10; NAMECHEAP INC; Redacted for Privacy; Privacy service provided by Withheld for Privacy ehf; IS; 2022-12-28T09:19:56.00Z;Yes;No;N/A
ParentShield;parentshield.co.uk;81.128.160.192;Price Engines Limited; ; ; ; ;N/A (sells SIM cards);N/A;N/A
Phone monitor;phonemonitor.com;104.21.84.130; NAMECHEAP INC; Redacted for Privacy; Privacy service provided by Withheld for Privacy ehf; IS; 2001-07-11T10:32:51.00Z;Yes;No;N/A
Phonsee;phonsee.com;104.21.55.249; NAMECHEAP INC; Redacted for Privacy; Privacy service provided by Withheld for Privacy ehf; IS; 2023-01-11T07:52:15.00Z;Yes;No;N/A
Pumpic;pumpic.com;104.21.71.30; NAMECHEAP INC; Redacted for Privacy; Privacy service provided by Withheld for Privacy ehf; IS; 2009-07-16T18:35:26.00Z;Yes;No;N/A
Qustodio;qustodio.com;54.225.15.185; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2010-09-24T16:59:25Z;Yes;https://play.google.com/store/apps/details?id=com.qustodio.family.parental.control.app.screentime;8708
Race CommandIQ;race.com;172.67.68.39; Network Solutions, LLC; Race Telecommunications, Inc.; Race Telecommunications, Inc.; US; 1995-05-09T04:00:00Z;Yes;https://play.google.com/store/apps/details?id=com.race.smarthome&hl=en_US&gl=US;99440
RealizD;realizd.com;IP not found; FastDomain Inc.; ZIHE JIA; ; AU; 2015-10-29T04:45:11Z;N/A;N/A;N/A
SPYX;spyx.com;172.67.164.77; DNSPod, Inc.; REDACTED FOR PRIVACY; REDACTED FOR PRIVACY; CN; 2002-11-10 13:11:14;Yes;No;419471
Remote-vue;pbn-tec.com;134.209.223.45; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2022-12-06T16:07:37Z;Yes;No;N/A
RespondASAP;respondasap.co.uk;52.95.148.184;GoDaddy.com, LLC.; ; ; ; ;Yes;https://play.google.com/store/apps/details?id=uk.co.RespondASAP.alarm (broken link);N/A
RL Watcher;N/A;IP not found;N/A;N/A; ; ; ;N/A;N/A;N/A
SafeLagoon;safelagoon.com;3.222.211.113; GANDI SAS; REDACTED FOR PRIVACY; Safe Lagoon; FR; 2009-04-12T04:22:01Z;Yes;https://play.google.com/store/apps/details?id=com.safelagoon.parenting;638429
SAFERKID TEXT MONITORING APP;saferkid.com;34.209.115.161; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2009-06-12T13:24:39Z;Yes;https://play.google.com/store/apps/details?id=com.saferkid.parentapp;595660
Safes;safes.so;3.124.241.117;NameCheap; ; ; ; ;Yes;https://play.google.com/store/apps/details?id=de.sternx.safes;582321
SafeToNet;safetonet.com;13.43.209.229; TUCOWS, INC.; REDACTED FOR PRIVACY; REDACTED FOR PRIVACY; GB; 2015-09-10T09:44:53;Unclear;No;N/A
Salfeld Parental Control;salfeld.com;178.77.105.34; MESH DIGITAL LIMITED; ; Salfeld Computer GmbH; DE; 2001-06-03T11:38:33Z;Yes;No;N/A
Scalefusion MDM;scalefusion.com;95.101.23.210; Cloudflare, Inc.; DATA REDACTED; DATA REDACTED; IN; 2010-12-14T03:41:07Z;Yes;https://play.google.com/store/apps/details?id=com.promobitech.mobilock.pro;23752
Scannero;scannero.io;188.114.97.10; NAMECHEAP INC; Redacted for Privacy; Privacy service provided by Withheld for Privacy ehf; IS; 2022-01-06T13:22:17.75Z;No;No;63266
Screen Time Limit KidCrono;kidcrono.com;IP not found; IONOS SE; REDACTED FOR PRIVACY; 1&1 Internet Limited; GB; 2015-06-09T13:29:34.000Z;N/A;N/A;N/A
ScreenLimit;screenlimit.net;IP not found; SAV.COM, LLC - 2; REDACTED FOR PRIVACY; REDACTED FOR PRIVACY; US; 2023-07-25T18:53:08Z;N/A;N/A;N/A
Screentimelabs;screentimelabs.com;141.193.213.21; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2013-06-26T16:16:18Z;Yes;https://play.google.com/store/apps/details?id=com.screentime.rc;347402
securekids;securekids.es;188.114.97.10;N/A; ; ; ; ;Yes;https://play.google.com/store/apps/details?id=com.securekids.launcher_reloaded;676604
secureteen;secureteen.com;66.160.172.146; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2010-02-16T01:33:02Z;Yes;https://play.google.com/store/apps/details?id=com.infoweise.parentalcontrol.secureteen;N/A
SmartDaddy;smartdaddy.app;162.214.80.152;GoDaddy.com, LLC; ; ; ; ;Yes;https://play.google.com/store/apps/details?id=com.parentalcontrol.smartdaddy;N/A
SPY24;spy24.app;188.114.96.10;Dynadot LLC.; ; ; ; ;Yes;No;501038
Spy Ear – Listen To Next Door;N/A;IP not found;N/A;N/A; ; ; ;N/A;N/A;N/A
MoniMaster;monimaster.com;47.252.15.43; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2018-08-27T02:35:51Z;Yes;No;446047
SpyBubble;thespybubble.com;104.21.22.227; TLD Registrar Solutions Ltd.; Domain Admin; Whois Privacy Corp.; BS; 2014-11-21T14:10:26Z;Yes;No;N/A
Spyera;spyera.com;172.66.40.178; Cloudflare, Inc.; DATA REDACTED; DATA REDACTED; GB; 2007-08-30T18:10:48Z;Yes;No;N/A
Spyic.pro;spyic.pro;188.114.97.10;Hosting Concepts B.V. d/b/a Registrar.eu; ; ; ; ;Yes;No;N/A
Spymaster Pro;spymasterpro.com;5.183.9.140; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2012-06-11T06:37:26Z;Yes;No;N/A
TheOneSpy;theonespy.com;85.13.249.210; ENOM, INC.; Whois Agent (992743463); Whois Privacy Protection Service, Inc.; US; 2014-05-06T17:05:00.00Z;Yes;No;260677
SpyStealth;spystealth.com;188.114.96.10; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2011-07-29T13:22:50Z;Yes;No;N/A
TiSpy;tispy.net;172.67.72.31; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2011-03-25T23:21:02Z;Yes;No;404848
Teen Time;teentimeapp.com;49.12.133.185; PDR Ltd. d/b/a PublicDomainRegistry.com; ; ; ; 2018-11-30T21:35:18Z;Yes;https://play.google.com/store/apps/details?id=com.teentime.parent;N/A
uMobix;umobix.com;104.22.57.177; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2020-02-02T15:51:17Z;Yes;No;256352
TheWiSpy;thewispy.com;162.241.6.162; Launchpad.com Inc.; PERFECT PRIVACY, LLC; ; US; 2019-09-17T12:26:23Z;Yes;No;N/A
Spynger;spynger.com;172.67.196.140; NAMECHEAP INC; Redacted for Privacy; Privacy service provided by Withheld for Privacy ehf; IS; 2022-12-23T08:23:40.00Z;Yes;No;727238
WebWatcher;webwatcher.com;141.193.213.21; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2000-03-06T08:57:44Z;Yes;No;424303
Verizon Smart Family;verizon.com;64.12.0.108; CSC CORPORATE DOMAINS, INC.; Domain Administrator; Verizon Trademark Services LLC; US; 2000-03-06T10:30:08Z;Yes;https://play.google.com/store/apps/details?id=com.verizon.familybase.parent&hl=en_GB;1733
Vysor;vysor.io;185.199.110.153; Cloudflare, Inc; REDACTED FOR PRIVACY; ; US; 2015-07-17T07:02:46Z;Yes;https://play.google.com/store/apps/details?id=com.koushikdutta.vysor;151960
XNSPY;xnspy.com;104.26.9.182; Eurodns S.A.; Whois Privacy; Whois Privacy (enumDNS dba); LU; 2014-10-13T00:00:00Z;Yes;No;365926
WinLock Professional;crystaloffice.com;192.254.189.196; ENOM, INC.; REDACTED FOR PRIVACY; REDACTED FOR PRIVACY; RU; 2001-06-14T15:05:00.00Z;No;No;N/A
xMobi;xmobi.co;104.21.80.213; NAMECHEAP INC; Redacted for Privacy; Privacy service provided by Withheld for Privacy ehf; IS; 2020-06-17T15:27:23.83Z;Yes;No;N/A
Kidstracker;kidstracker.io;188.114.97.10; GoDaddy.com, LLC; REDACTED FOR PRIVACY; Domains By Proxy, LLC; US; 2020-09-17T07:15:44Z;Yes;No;832453
